Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,REACTOME_METABOLISM_OF_RNA,0.6130186898554877,1.985307410367789,0.0,0.23538053065377462,0.253,10/16,30.46%,MT-RNR2;MT-RNR1;NUP214;PPIL2;IGF2BP2;RBMX;KHSRP;RPL3L;IGF2BP3;HSPA1A
gsea,WP_DENGUE2_INTERACTIONS_WITH_COMPLEMENT_AND_COAGULATION_CASCADES,0.6213767520362773,1.9272903491582483,0.0,0.1280938246928,0.372,3/12,10.25%,C3;FGB;MASP1
gsea,WP_COMPLEMENT_AND_COAGULATION_CASCADES,0.6213767520362773,1.9272903491582483,0.0,0.1280938246928,0.372,3/12,10.25%,C3;FGB;MASP1
