score,group,threshold,split,cell_type,drug,dose
3.3676462,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-2.048891,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-2.613192,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
9.847889,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-1.4711299,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-5.5703692,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
1.6573086,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
3.4586244,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-5.100365,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
5.2685614,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-2.0902689,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
3.2031245,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-5.9917088,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-6.281718,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
1.7250738,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-1.4952817,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-3.0540948,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
0.07338238,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-7.398538,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-1.372057,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
10.616156,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
1.6133072,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-5.920893,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
0.13841283,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
6.1056266,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-3.2124567,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
0.07951856,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
3.5202243,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-2.2941535,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-0.15179288,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-4.8133044,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-1.9825164,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-0.13210392,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-6.434667,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
6.416777,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-3.0630836,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
-0.51078796,Control,8.126210451126095,split2,B cells,Dactolisib,0.0709219858156028
