model,split,row_type,group,n_groups,sinkhorn_de,centered_sinkhorn_de,variance_log_mae_de
CRISP,split,group,Myeloid cells_Belinostat,1,86.31604766845703,43.77717971801758,0.8378560543060303
CRISP,split,group,Myeloid cells_CHIR99021,1,42.028221130371094,22.33254051208496,0.4027338922023773
CRISP,split,group,Myeloid cells_Crizotinib,1,8.215232849121094,2.6031460762023926,0.07226695120334625
CRISP,split,group,Myeloid cells_Dabrafenib,1,91.0695571899414,60.50498962402344,1.054650902748108
CRISP,split,group,Myeloid cells_Dactolisib,1,105.25592803955078,9.244616508483887,0.24969801306724548
CRISP,split,group,Myeloid cells_Foretinib,1,4.290274620056152,2.243579864501953,0.0596788227558136
CRISP,split,group,Myeloid cells_Idelalisib,1,1.474599838256836,0.1918908953666687,0.008983351290225983
CRISP,split,group,Myeloid cells_LDN193189,1,6.783308982849121,5.107311248779297,0.1449117213487625
CRISP,split,group,Myeloid cells_Linagliptin,1,22.093387603759766,12.747669219970703,0.21346917748451233
CRISP,split,group,Myeloid cells_ODemethylatedAdapalene,1,46.989471435546875,21.342132568359375,0.36431407928466797
CRISP,split,group,Myeloid cells_Palbociclib,1,34.89940643310547,29.410015106201172,0.499191015958786
CRISP,split,group,Myeloid cells_Penfluridol,1,3.066997528076172,2.283440589904785,0.06540188938379288
CRISP,split,group,Myeloid cells_PorcnInhibitorIII,1,99.15199279785156,58.04426574707031,0.9584205150604248
CRISP,split,group,Myeloid cells_R428,1,182.68032836914062,21.018775939941406,0.4662528932094574
CRISP,split,group,T regulatory cells_59Isopropyl8methyl2morpholino9Hpurin6ylpyrimidin2amine,1,8.81054401397705,1.4678468704223633,0.048232465982437134
CRISP,split,group,T regulatory cells_ABT199GDC0199,1,2.7726128101348877,0.4102952182292938,0.016383547335863113
CRISP,split,group,T regulatory cells_ABT737,1,7.745610237121582,1.2817559242248535,0.049246374517679214
CRISP,split,group,T regulatory cells_AMD070hydrochloride,1,6.897146224975586,1.2255010604858398,0.04580792784690857
CRISP,split,group,T regulatory cells_AT13387,1,50.95218276977539,6.233483791351318,0.21212318539619446
CRISP,split,group,T regulatory cells_AT7867,1,5.261347770690918,1.550743818283081,0.04948694258928299
CRISP,split,group,T regulatory cells_AVL292,1,6.713980197906494,1.5939440727233887,0.05118453502655029
CRISP,split,group,T regulatory cells_AZ628,1,6.328958511352539,0.890225887298584,0.03312806040048599
CRISP,split,group,T regulatory cells_AZD3514,1,7.334917068481445,1.1025733947753906,0.040966201573610306
CRISP,split,group,T regulatory cells_AZD4547,1,7.566472053527832,0.9079803228378296,0.035618845373392105
CRISP,split,group,T regulatory cells_AZD8330,1,5.619387149810791,0.44286370277404785,0.017648357897996902
CRISP,split,group,T regulatory cells_Alogliptin,1,6.224601745605469,0.6986672282218933,0.027317838743329048
CRISP,split,group,T regulatory cells_Alvocidib,1,166.13345336914062,10.085689544677734,0.3038440942764282
CRISP,split,group,T regulatory cells_Amiodarone,1,5.124665260314941,0.5073083639144897,0.020231623202562332
CRISP,split,group,T regulatory cells_Atorvastatin,1,3.565742015838623,1.0900962352752686,0.036177076399326324
CRISP,split,group,T regulatory cells_Azacitidine,1,5.9295244216918945,1.038011074066162,0.03688395395874977
CRISP,split,group,T regulatory cells_BAY613606,1,13.828386306762695,1.959092378616333,0.072083979845047
CRISP,split,group,T regulatory cells_BAY872243,1,8.500560760498047,6.070039749145508,0.13548484444618225
CRISP,split,group,T regulatory cells_BID1870,1,10.46741771697998,1.346571683883667,0.05170261487364769
CRISP,split,group,T regulatory cells_BMS265246,1,5.285209655761719,1.1444592475891113,0.03734787181019783
CRISP,split,group,T regulatory cells_BMS387032,1,42.519378662109375,20.561325073242188,0.3825656771659851
CRISP,split,group,T regulatory cells_BMS536924,1,13.407508850097656,1.208035945892334,0.04645560309290886
CRISP,split,group,T regulatory cells_BMS777607,1,7.476278781890869,1.4176033735275269,0.047169338911771774
CRISP,split,group,T regulatory cells_BX912,1,27.551246643066406,3.5121121406555176,0.12642422318458557
CRISP,split,group,T regulatory cells_Belinostat,1,46.304039001464844,19.98863410949707,0.307101309299469
CRISP,split,group,T regulatory cells_Bosutinib,1,9.58774185180664,0.5572632551193237,0.023287665098905563
CRISP,split,group,T regulatory cells_Buspirone,1,4.550000190734863,1.0535885095596313,0.03932332620024681
CRISP,split,group,T regulatory cells_CC401,1,6.578350067138672,0.9791087508201599,0.037731535732746124
CRISP,split,group,T regulatory cells_CEP37440,1,3.2137794494628906,0.9384804964065552,0.03416956216096878
CRISP,split,group,T regulatory cells_CGM097,1,9.328441619873047,1.5942667722702026,0.06115419790148735
CRISP,split,group,T regulatory cells_CGP60474,1,208.16351318359375,27.863903045654297,0.37454861402511597
CRISP,split,group,T regulatory cells_CHIR99021,1,6.974335670471191,1.0597134828567505,0.03989623114466667
CRISP,split,group,T regulatory cells_Cabozantinib,1,4.66499662399292,0.4596548080444336,0.018314283341169357
CRISP,split,group,T regulatory cells_Canertinib,1,3.1570076942443848,0.5914941430091858,0.027459969744086266
CRISP,split,group,T regulatory cells_Ceritinib,1,4.315439224243164,0.46314239501953125,0.01767101138830185
CRISP,split,group,T regulatory cells_Chlorpheniramine,1,5.385457992553711,0.9673199653625488,0.03769224137067795
CRISP,split,group,T regulatory cells_Clemastine,1,4.183706283569336,0.5986671447753906,0.02338171936571598
CRISP,split,group,T regulatory cells_Clomipramine,1,4.11053466796875,1.508699655532837,0.04289228469133377
CRISP,split,group,T regulatory cells_Clotrimazole,1,9.54805850982666,2.1689047813415527,0.06253959983587265
CRISP,split,group,T regulatory cells_Colchicine,1,12.161800384521484,0.9722725749015808,0.0379367396235466
