setting,cell_type,method,mean_direction_acc,std_direction_acc,sem_direction_acc,n
Seen drugs,B cells,CRISP,0.5315589697966224,0.17400203391913313,0.01608649372642202,117
Seen drugs,NK cells,CRISP,0.5024478539152796,0.15975603387727894,0.01566536796450837,104
Seen drugs,T cells CD4+,CRISP,0.4857960134870312,0.24191083368755173,0.022364664485915616,117
Unseen drugs,B cells,CRISP,0.33944138370595156,0.20210872186568424,0.022456524651742693,81
Unseen drugs,NK cells,CRISP,0.33521815484693307,0.13241352648509827,0.015605083749739582,72
Unseen drugs,T cells CD4+,CRISP,0.4861801072674933,0.29874704926837603,0.03149070399808692,90
