setting,cell_type,method,mean_direction_acc,std_direction_acc,sem_direction_acc,n
Seen drugs,B cells,DiffCRISP,0.5298371026770778,0.16341071381474184,0.015107325836390344,117
Seen drugs,NK cells,DiffCRISP,0.5559719122126237,0.14941996994695078,0.014651833509229797,104
Seen drugs,T cells CD4+,DiffCRISP,0.6224698341469819,0.1699277987267707,0.01570983054964349,117
Unseen drugs,B cells,DiffCRISP,0.47337353237767343,0.21472343221935417,0.023858159135483798,81
Unseen drugs,NK cells,DiffCRISP,0.50205503993122,0.1404171478095914,0.016548319568505977,72
Unseen drugs,T cells CD4+,DiffCRISP,0.49830889106274284,0.25896751822364633,0.027297573252929478,90
