Term,Dasatinib_NES,Nilotinib_NES,Bosutinib_NES,Mean_NES,n_drugs
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,-1.8596636480556488,-1.891368050921727,-1.5933088309410026,-1.7814468433061261,3
KEGG_PATHWAYS_IN_CANCER,-1.827261709641639,-1.99128185239224,-1.799116183794155,-1.8725532486093446,3
PID_PDGFRB_PATHWAY,-1.8693354146278685,-1.6980889649786248,-1.4450182537483778,-1.6708142111182902,3
REACTOME_RHO_GTPASE_CYCLE,-1.98134721799877,-2.451122861456818,-1.826495327190044,-2.086321802215211,3
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,-2.0224295224152646,-2.507927908608337,-1.9192741469251533,-2.1498771926495848,3
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,-1.768585011565191,-2.002766994360899,-1.587860741551882,-1.7864042491593242,3
KEGG_CHRONIC_MYELOID_LEUKEMIA,,-1.6684605113325328,-1.5383758819428988,-1.603418196637716,2
