Term,Dasatinib_NES,Nilotinib_NES,Bosutinib_NES,Mean_NES,Weakest_NES
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,-1.626107375068322,-1.6391135723303845,-1.4923907765224986,-1.5858705746404016,-1.4923907765224986
PID_CXCR4_PATHWAY,-1.507273882533838,-1.7642008218638634,-1.446280286632697,-1.5725849970101329,-1.446280286632697
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,-1.531530914389224,-1.6639118008393656,-1.518829700293096,-1.5714241385072285,-1.518829700293096
KEGG_GLIOMA,-1.4911669594376236,-1.5350683708099104,-1.6058534754939011,-1.5440296019138116,-1.4911669594376236
KEGG_GAP_JUNCTION,-1.4478295624219764,-1.5929094696629005,-1.553230610930202,-1.5313232143383597,-1.4478295624219764
KEGG_CALCIUM_SIGNALING_PATHWAY,-1.4873164012200997,-1.5831373539003588,-1.5151326620845935,-1.5285288057350173,-1.4873164012200997
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,-1.4516155712365169,-1.6375924815361855,-1.4958440120986247,-1.5283506882904423,-1.4516155712365169
PID_AVB3_INTEGRIN_PATHWAY,-1.359092901624368,-1.658421776622729,-1.5589149868102468,-1.5254765550191145,-1.359092901624368
WP_PLEURAL_MESOTHELIOMA,-1.5339014735659944,-1.555422435655708,-1.4520092200331187,-1.5137777097516072,-1.4520092200331187
WP_G_PROTEIN_SIGNALING,-1.4110812675219049,-1.4621104711333568,-1.6530780687568452,-1.5087566024707024,-1.4110812675219049
WP_CHEMOKINE_SIGNALING,-1.5736966759938065,-1.4649187123354743,-1.4795699774176212,-1.5060617885823007,-1.4649187123354743
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,-1.3810310348198531,-1.516883742210224,-1.5995899455902798,-1.4991682408734521,-1.3810310348198531
