Term,Capecitabine_NES,Fluorouracil_NES,Toremifene_NES,Fulvestrant_NES,Lapatinib_NES,Thiotepa_NES,n_drugs,Mean_NES,Weakest_NES
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY,,,,-1.5715192837069631,,,1,-1.5715192837069631,-1.5715192837069631
WP_UROTENSINIIMEDIATED_SIGNALING,,,,-1.5665037727240338,,,1,-1.5665037727240338,-1.5665037727240338
REACTOME_KEAP1_NFE2L2_PATHWAY,,,,-1.5644914556245835,,,1,-1.5644914556245835,-1.5644914556245835
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,,,,-1.5625495781324705,,,1,-1.5625495781324705,-1.5625495781324705
REACTOME_METABOLISM_OF_CARBOHYDRATES,,,,-1.5611562609375709,,,1,-1.5611562609375709,-1.5611562609375709
REACTOME_RAC3_GTPASE_CYCLE,,,,-1.5572262020677008,,,1,-1.5572262020677008,-1.5572262020677008
WP_22Q112_COPY_NUMBER_VARIATION_SYNDROME,,,,-1.553461566209339,,,1,-1.553461566209339,-1.553461566209339
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,,,,-1.5489108668774663,,,1,-1.5489108668774663,-1.5489108668774663
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,,,,-1.5460611102624677,,,1,-1.5460611102624677,-1.5460611102624677
REACTOME_CDC42_GTPASE_CYCLE,,,,-1.5443440688919603,,,1,-1.5443440688919603,-1.5443440688919603
WP_CHOLESTEROL_METABOLISM,,,,-1.5422184564565242,,,1,-1.5422184564565242,-1.5422184564565242
KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY,,,,-1.530018105821309,,,1,-1.530018105821309,-1.530018105821309
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY,,,,-1.530018105821309,,,1,-1.530018105821309,-1.530018105821309
PID_KIT_PATHWAY,,,,-1.521009021550615,,,1,-1.521009021550615,-1.521009021550615
REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER,,,,-1.5075607747927606,,,1,-1.5075607747927606,-1.5075607747927606
REACTOME_RHOG_GTPASE_CYCLE,,,,-1.5000066073665694,,,1,-1.5000066073665694,-1.5000066073665694
REACTOME_CELL_CELL_COMMUNICATION,,,,-1.4952198958679623,,,1,-1.4952198958679623,-1.4952198958679623
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,,,,-1.491823435851824,,,1,-1.491823435851824,-1.491823435851824
WP_VEGFAVEGFR2_SIGNALING,,,,-1.4885275263440942,,,1,-1.4885275263440942,-1.4885275263440942
WP_WNT_SIGNALING_AND_PLURIPOTENCY,,,,-1.4842405298070147,,,1,-1.4842405298070147,-1.4842405298070147
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,,,,-1.481117406596483,,,1,-1.481117406596483,-1.481117406596483
REACTOME_PI3K_AKT_SIGNALING_IN_CANCER,,,,-1.4790157582311305,,,1,-1.4790157582311305,-1.4790157582311305
REACTOME_CELL_JUNCTION_ORGANIZATION,,,,-1.4784347351913132,,,1,-1.4784347351913132,-1.4784347351913132
REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION,,,,-1.4765145628068477,,,1,-1.4765145628068477,-1.4765145628068477
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,,,,-1.476030198361071,,,1,-1.476030198361071,-1.476030198361071
REACTOME_INTERFERON_GAMMA_SIGNALING,,,,-1.4706887445163586,,,1,-1.4706887445163586,-1.4706887445163586
PID_ATF2_PATHWAY,,,,-1.4424949396508802,,,1,-1.4424949396508802,-1.4424949396508802
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,,,,-1.439944465638422,,,1,-1.439944465638422,-1.439944465638422
REACTOME_GPCR_LIGAND_BINDING,,,,-1.4392203195932516,,,1,-1.4392203195932516,-1.4392203195932516
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,,,,-1.434822875536593,,,1,-1.434822875536593,-1.434822875536593
