drug,score,reference_positive,n_truth_hits,n_pred_hits,truth_pathways,pred_pathways
Gandotinib,3.9244912744997777,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
BMS-536924,2.382200126246233,True,4,1,REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS
Tie2,2.3792013886309884,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
BMS-754807,2.358771154593815,True,3,1,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_CHECKPOINTS
Roscovitine,2.357194467770664,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Motesanib,2.3417878588081225,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
SRT2104,2.329580841941985,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Raltitrexed,2.328260019697653,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Ruxolitinib,2.325677044923753,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
SRT1720,2.325332633462827,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Celecoxib,2.3187078900897755,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Cerdulatinib,2.3164010015094183,True,2,1,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_CHECKPOINTS
Aminoglutethimide,2.3140522384279283,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Altretamine,2.3123308424169347,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
ABT-737,2.3115325521911267,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Curcumin,2.3094499201367014,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Iniparib,2.3081474698009403,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Selisistat,2.303384767081322,True,1,1,REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS
FLLL32,2.300324251443637,True,6,1,WP_MAPK_SIGNALING;WP_BREAST_CANCER_PATHWAY;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_CELL_CYCLE;REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS
SB431542,2.297087942670793,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Obatoclax,2.296866232212155,True,4,1,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_CELL_CYCLE;REACTOME_RHO_GTPASE_EFFECTORS;WP_MAPK_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS
Lenalidomide,2.294253892102298,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Alendronate,2.293209516217273,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
XAV-939,2.2905008269552227,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Sirtinol,2.2900059374931505,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Divalproex,2.2886016966695863,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Ki16425,2.287477266559599,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
ITSA-1,2.279449724873324,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
WP1066,2.27088276628296,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Resveratrol,2.269474668468353,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
Avagacestat,2.265595789867299,False,0,1,,REACTOME_CELL_CYCLE_CHECKPOINTS
