K,Precision,Hits,Random_baseline
10,1.0,10,0.48717948717948717
20,0.95,19,0.48717948717948717
30,0.9333333333333333,28,0.48717948717948717
40,0.85,34,0.48717948717948717
50,0.84,42,0.48717948717948717
