group,n_truth,crisp_between_seed,diffcrisp_between_seed,real_sampling,crisp_ratio,diffcrisp_ratio
K562_BMS-536924_1.0,191,0.00027517089131126545,0.010363621482004723,0.14243926794992554,0.0019318471322669368,0.0727581770895372
K562_BMS-754807_1.0,183,5.092930281939011e-05,0.001509824000418626,0.027341149292058414,0.0018627345279221008,0.055221672808654525
K562_BMS-911543_1.0,231,9.534886493788185e-07,0.004043741295188536,0.03820385949479209,2.4957914252323043e-05,0.1058464078934165
K562_Barasertib_1.0,158,1.7198343464820533e-06,0.0012662792917884265,0.023915954762034945,7.191159055093133e-05,0.052947051639291615
K562_Baricitinib_1.0,220,1.0933290364947525e-05,0.007604722800250683,0.01456344048915155,0.0007507354030177032,0.5221790006225189
K562_Belinostat_1.0,58,0.0011876215395103726,0.03386794808838103,0.08731142547395494,0.013602132058474305,0.3878982378827827
K562_Busulfan_1.0,236,3.109666773626587e-05,9.309710795453915e-07,0.005117786088440981,0.0060761952920425355,0.00018190894723952618
K562_CEP-33779_1.0,192,0.0004686558788105483,0.030473286430868836,0.0989531503783332,0.004736139041745611,0.3079567079406627
K562_CUDC-101_1.0,63,0.0022127266184219885,0.1205273578564326,0.1252053519917859,0.017672779823079403,0.9626374267478581
K562_CYC116_1.0,165,1.0180314668812368e-05,0.01954947147104475,0.05402838202814261,0.00018842531067300123,0.36183707039129376
K562_Carmofur_1.0,247,0.00025428823897123546,0.08602286593781577,0.25376316408316296,0.0010020691532987838,0.3389887821134846
K562_Cediranib_1.0,99,0.0005460152706493521,0.040233185349239246,0.11966056476036707,0.00456303437763983,0.3362276070634503
K562_Celecoxib_1.0,234,1.6425000546228654e-05,0.0011327968099067221,0.020590731083777628,0.0007976890417052293,0.05501489020946877
K562_Cerdulatinib_1.0,194,0.0013372696625689666,0.3918780439429813,3.7932922257317436,0.00035253536584859373,0.10330816099131045
K562_Cimetidine_1.0,204,4.0912633241734716e-08,0.006478781771511422,0.011134667694568634,3.6743470361213778e-06,0.5818567692569486
K562_Costunolide_1.0,244,0.0006637648952568674,0.009924786103268465,0.04875677688978612,0.013613797662575129,0.20355705886185377
K562_Crizotinib_1.0,76,0.000577660556235868,0.021299734608166747,0.1041994984779093,0.005543794016996486,0.2044130242400579
K562_Cyclocytidine_1.0,214,0.0008861258710061924,0.2121808406379488,2.13709802892473,0.00041463978676356837,0.09928456147830826
K562_Dacinostat_1.0,74,0.000708710597245954,0.04298364147543907,0.2361252185371187,0.0030014184915811743,0.18203748732023758
K562_Danusertib_1.0,111,0.0006095347124048405,0.032696791075997884,0.316791456606653,0.0019240882280536842,0.10321235119858727
