group,n_cells,n_de_genes,n_unique_rows_de,n_variable_genes_de,finite,valid
K562_Motesanib_1.0,209,50,6,6,True,True
K562_NVP-BSK805_1.0,127,50,127,12,True,True
K562_Navitoclax_1.0,36,50,2,8,True,False
K562_Nilotinib_1.0,126,50,116,25,True,True
K562_Nintedanib_1.0,60,50,9,7,True,True
K562_Obatoclax_1.0,77,50,13,6,True,True
K562_Ofloxacin_1.0,224,50,13,10,True,True
K562_PCI-34051_1.0,178,50,8,5,True,True
K562_PD173074_1.0,206,50,10,8,True,True
K562_PD98059_1.0,212,50,5,8,True,True
K562_PF-3845_1.0,209,50,8,6,True,True
K562_PF-573228_1.0,179,50,179,10,True,True
K562_PFI-1_1.0,109,50,103,19,True,True
K562_PHA-680632_1.0,96,50,94,15,True,True
K562_PJ34_1.0,169,50,113,3,True,False
K562_Panobinostat_1.0,60,50,10,11,True,True
K562_Patupilone_1.0,57,50,3,1,True,False
K562_Pelitinib_1.0,86,50,76,9,True,True
K562_Pirarubicin_1.0,146,50,145,17,True,True
K562_Pracinostat_1.0,75,50,33,28,True,True
K562_Prednisone_1.0,228,50,22,8,True,True
K562_Quercetin_1.0,160,50,11,6,True,True
K562_Quisinostat_1.0,74,50,22,11,True,True
K562_RG108_1.0,195,50,4,3,True,False
K562_Raltitrexed_1.0,179,50,179,21,True,True
K562_Ramelteon_1.0,245,50,25,8,True,True
K562_Regorafenib_1.0,77,50,77,13,True,True
K562_Resminostat_1.0,104,50,69,20,True,True
K562_Resveratrol_1.0,234,50,219,12,True,True
K562_Rigosertib_1.0,43,50,4,5,True,False
K562_Roscovitine_1.0,257,50,7,6,True,True
K562_Roxadustat_1.0,237,50,49,8,True,True
K562_Rucaparib_1.0,196,50,7,3,True,False
K562_Ruxolitinib_1.0,232,50,9,4,True,False
K562_S-Ruxolitinib_1.0,208,50,43,4,True,False
K562_S3I-201_1.0,264,50,8,6,True,True
K562_SB431542_1.0,274,50,18,9,True,True
K562_SGI-1776_1.0,43,50,2,2,True,False
K562_SL-327_1.0,205,50,88,14,True,True
K562_SNS-314_1.0,154,50,124,17,True,True
K562_SRT1720_1.0,55,50,55,17,True,True
K562_SRT2104_1.0,227,50,23,10,True,True
K562_SRT3025_1.0,177,50,3,1,True,False
K562_Selisistat_1.0,240,50,23,5,True,True
K562_Sirtinol_1.0,242,50,242,9,True,True
K562_Sodium_1.0,186,50,10,5,True,True
K562_Sorafenib_1.0,97,50,97,10,True,True
K562_Streptozotocin_1.0,245,50,6,4,True,False
K562_TAK-901_1.0,58,50,17,9,True,True
K562_TG101209_1.0,63,50,20,10,True,True
K562_TGX-221_1.0,212,50,7,2,True,False
K562_TMP195_1.0,192,50,4,3,True,False
K562_Tacedinaline_1.0,133,50,126,29,True,True
K562_Tanespimycin_1.0,84,50,39,11,True,True
K562_Tazemetostat_1.0,212,50,10,8,True,True
K562_Temsirolimus_1.0,116,50,9,3,True,False
K562_Thalidomide_1.0,208,50,6,5,True,True
K562_Thiotepa_1.0,267,50,264,8,True,True
K562_Tie2_1.0,251,50,101,11,True,True
K562_Tofacitinib_1.0,206,50,40,11,True,True
K562_Toremifene_1.0,130,50,76,4,True,False
K562_Tozasertib_1.0,107,50,106,16,True,True
K562_Trametinib_1.0,152,50,134,25,True,True
K562_Tranylcypromine_1.0,215,50,215,10,True,True
K562_Triamcinolone_1.0,265,50,263,15,True,True
K562_Trichostatin_1.0,79,50,26,6,True,True
K562_Tubastatin_1.0,206,50,33,3,True,False
K562_Tucidinostat_1.0,118,50,118,27,True,True
K562_UNC0379_1.0,152,50,152,14,True,True
K562_UNC0631_1.0,191,50,8,5,True,True
K562_UNC1999_1.0,183,50,5,3,True,False
K562_Valproic_1.0,235,50,46,8,True,True
K562_Vandetanib_1.0,68,50,25,10,True,True
K562_Veliparib_1.0,238,50,6,3,True,False
K562_WHI-P154_1.0,169,50,16,6,True,True
K562_WP1066_1.0,203,50,8,7,True,True
K562_XAV-939_1.0,164,50,8,10,True,True
K562_YM155_1.0,75,50,21,9,True,True
K562_ZM_1.0,199,50,164,7,True,True
K562_Zileuton_1.0,246,50,16,7,True,True
