pos_ratio,model,cov_drug,cell_type
0.9533333333333333,DIFFCRISP,NK cells_Flutamide,NK cells
0.9733333333333333,DIFFCRISP,NK cells_Foretinib,NK cells
0.98,DIFFCRISP,NK cells_GLPG0634,NK cells
0.9933333333333333,DIFFCRISP,NK cells_GO6976,NK cells
0.9933333333333333,DIFFCRISP,NK cells_GSK1070916,NK cells
0.9,DIFFCRISP,NK cells_GSK256066,NK cells
0.9066666666666667,DIFFCRISP,NK cells_GW843682X,NK cells
0.8666666666666667,DIFFCRISP,NK cells_GanetespibSTA9090,NK cells
0.9733333333333333,DIFFCRISP,NK cells_HMN214,NK cells
0.98,DIFFCRISP,NK cells_HYDROXYUREA,NK cells
0.96,DIFFCRISP,NK cells_IBET151,NK cells
1.0,DIFFCRISP,NK cells_IKKInhibitorVII,NK cells
0.9133333333333334,DIFFCRISP,NK cells_IMD0354,NK cells
0.7133333333333333,DIFFCRISP,NK cells_IN1451,NK cells
0.9866666666666667,DIFFCRISP,NK cells_Idelalisib,NK cells
0.9933333333333333,DIFFCRISP,NK cells_Imatinib,NK cells
0.9866666666666667,DIFFCRISP,NK cells_Isoniazid,NK cells
1.0,DIFFCRISP,NK cells_Ixabepilone,NK cells
1.0,DIFFCRISP,NK cells_K02288,NK cells
0.9666666666666667,DIFFCRISP,NK cells_Ketoconazole,NK cells
0.9666666666666667,DIFFCRISP,NK cells_LDN193189,NK cells
0.9533333333333333,DIFFCRISP,NK cells_LY2090314,NK cells
1.0,DIFFCRISP,NK cells_Lamivudine,NK cells
0.9533333333333333,DIFFCRISP,NK cells_Lapatinib,NK cells
0.96,DIFFCRISP,NK cells_Linagliptin,NK cells
0.96,DIFFCRISP,NK cells_MGCD265,NK cells
0.96,DIFFCRISP,NK cells_MK5108,NK cells
0.9666666666666667,DIFFCRISP,NK cells_Masitinib,NK cells
0.98,DIFFCRISP,NK cells_Methotrexate,NK cells
0.9866666666666667,DIFFCRISP,NK cells_Midostaurin,NK cells
0.9533333333333333,DIFFCRISP,NK cells_MometasoneFuroate,NK cells
0.96,DIFFCRISP,NK cells_MubritinibTAK165,NK cells
1.0,DIFFCRISP,NK cells_Navitoclax,NK cells
0.96,DIFFCRISP,NK cells_Nefazodone,NK cells
0.98,DIFFCRISP,NK cells_Nilotinib,NK cells
0.98,DIFFCRISP,NK cells_ODemethylatedAdapalene,NK cells
0.9466666666666667,DIFFCRISP,NK cells_OSI930,NK cells
0.98,DIFFCRISP,NK cells_Oxybenzone,NK cells
0.9533333333333333,DIFFCRISP,NK cells_PD0325901,NK cells
0.9733333333333333,DIFFCRISP,NK cells_PF03814735,NK cells
1.0,DIFFCRISP,NK cells_PF04691502,NK cells
1.0,DIFFCRISP,NK cells_PRT062607,NK cells
0.9533333333333333,DIFFCRISP,NK cells_Palbociclib,NK cells
1.0,DIFFCRISP,NK cells_Penfluridol,NK cells
0.9933333333333333,DIFFCRISP,NK cells_Perhexiline,NK cells
0.98,DIFFCRISP,NK cells_Phenylbutazone,NK cells
0.9066666666666666,DIFFCRISP,NK cells_PitavastatinCalcium,NK cells
0.96,DIFFCRISP,NK cells_Pomalidomide,NK cells
0.9533333333333333,DIFFCRISP,NK cells_PorcnInhibitorIII,NK cells
0.96,DIFFCRISP,NK cells_Prednisolone,NK cells
0.9866666666666667,DIFFCRISP,NK cells_ProscillaridinAProscillaridinA,NK cells
0.96,DIFFCRISP,NK cells_Protriptyline,NK cells
0.9866666666666667,DIFFCRISP,NK cells_Quizartinib,NK cells
0.9666666666666667,DIFFCRISP,NK cells_R428,NK cells
0.96,DIFFCRISP,NK cells_RG7090,NK cells
0.9733333333333333,DIFFCRISP,NK cells_RG7112,NK cells
0.98,DIFFCRISP,NK cells_RN486,NK cells
0.96,DIFFCRISP,NK cells_RVX208,NK cells
0.9666666666666667,DIFFCRISP,NK cells_Raloxifene,NK cells
0.9666666666666667,DIFFCRISP,NK cells_Resminostat,NK cells
0.9733333333333333,DIFFCRISP,NK cells_Ricolinostat,NK cells
1.0,DIFFCRISP,NK cells_Riociguat,NK cells
1.0,DIFFCRISP,NK cells_Ruxolitinib,NK cells
1.0,DIFFCRISP,NK cells_SB525334,NK cells
0.9866666666666667,DIFFCRISP,NK cells_SCH58261,NK cells
0.9733333333333333,DIFFCRISP,NK cells_SLx2119,NK cells
0.96,DIFFCRISP,NK cells_STK219801,NK cells
0.98,DIFFCRISP,NK cells_Saracatinib,NK cells
0.9533333333333333,DIFFCRISP,NK cells_Scriptaid,NK cells
0.9733333333333333,DIFFCRISP,NK cells_Selumetinib,NK cells
0.9266666666666667,DIFFCRISP,NK cells_Sgccbp30,NK cells
0.9733333333333333,DIFFCRISP,NK cells_Sunitinib,NK cells
0.98,DIFFCRISP,NK cells_TGX221,NK cells
0.98,DIFFCRISP,NK cells_TIE2KinaseInhibitor,NK cells
1.0,DIFFCRISP,NK cells_TLHRAS26,NK cells
0.98,DIFFCRISP,NK cells_TPCA1,NK cells
0.98,DIFFCRISP,NK cells_TR14035,NK cells
0.9666666666666667,DIFFCRISP,NK cells_Tacalcitol,NK cells
1.0,DIFFCRISP,NK cells_Tamatinib,NK cells
0.96,DIFFCRISP,NK cells_Tipifarnib,NK cells
1.0,DIFFCRISP,NK cells_Tivantinib,NK cells
0.94,DIFFCRISP,NK cells_Tivozanib,NK cells
0.94,DIFFCRISP,NK cells_Topotecan,NK cells
0.9533333333333333,DIFFCRISP,NK cells_Tosedostat,NK cells
0.9933333333333333,DIFFCRISP,NK cells_Trametinib,NK cells
0.9199999999999999,DIFFCRISP,NK cells_UNIIBXU45ZH6LI,NK cells
0.9866666666666667,DIFFCRISP,NK cells_Vandetanib,NK cells
1.0,DIFFCRISP,NK cells_Vanoxerine,NK cells
0.9866666666666667,DIFFCRISP,NK cells_Vardenafil,NK cells
0.9933333333333333,DIFFCRISP,NK cells_Vorinostat,NK cells
0.9933333333333333,DIFFCRISP,NK cells_YK4279,NK cells
0.94,DIFFCRISP,T cells CD4+_59Isopropyl8methyl2morpholino9Hpurin6ylpyrimidin2amine,T cells CD4+
0.9733333333333333,DIFFCRISP,T cells CD4+_ABT199GDC0199,T cells CD4+
0.9733333333333333,DIFFCRISP,T cells CD4+_ABT737,T cells CD4+
0.9133333333333334,DIFFCRISP,T cells CD4+_AMD070hydrochloride,T cells CD4+
0.9933333333333333,DIFFCRISP,T cells CD4+_AT13387,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_AT7867,T cells CD4+
0.9133333333333334,DIFFCRISP,T cells CD4+_AVL292,T cells CD4+
0.9733333333333333,DIFFCRISP,T cells CD4+_AZ628,T cells CD4+
0.8933333333333334,DIFFCRISP,T cells CD4+_AZD3514,T cells CD4+
0.96,DIFFCRISP,T cells CD4+_AZD4547,T cells CD4+
0.8733333333333334,DIFFCRISP,T cells CD4+_AZD8330,T cells CD4+
0.82,DIFFCRISP,T cells CD4+_Alogliptin,T cells CD4+
0.9933333333333333,DIFFCRISP,T cells CD4+_Alvocidib,T cells CD4+
0.29333333333333333,DIFFCRISP,T cells CD4+_Amiodarone,T cells CD4+
