direction_acc,drug,dose,cell_type,batch_original,batch_group,n_cells,n_de_genes,method
0.65625,Penfluridol,0.07092198581560284,NK cells,10x Chromium (v3),10x Chromium (v3),194,32,DiffCRISP
0.6829268292682927,PorcnInhibitorIII,0.07092198581560284,NK cells,10x Chromium (v3),10x Chromium (v3),194,41,DiffCRISP
0.6326530612244898,Belinostat,0.007092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,49,DiffCRISP
0.5641025641025641,CHIR99021,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,39,DiffCRISP
0.7272727272727273,Crizotinib,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,44,DiffCRISP
0.22,Dabrafenib,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,50,DiffCRISP
0.5853658536585366,Dactolisib,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,41,DiffCRISP
0.5454545454545454,Foretinib,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,44,DiffCRISP
0.6111111111111112,Idelalisib,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,36,DiffCRISP
0.6451612903225806,LDN193189,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,31,DiffCRISP
0.37142857142857144,Linagliptin,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,35,DiffCRISP
0.4482758620689655,ODemethylatedAdapalene,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,29,DiffCRISP
0.55,Palbociclib,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,40,DiffCRISP
0.65625,Penfluridol,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,32,DiffCRISP
0.6585365853658537,PorcnInhibitorIII,0.07092198581560284,NK cells,CEL-Seq2,CEL-Seq2,42,41,DiffCRISP
0.7346938775510204,Belinostat,0.007092198581560284,NK cells,Drop-seq,Drop-seq,484,49,DiffCRISP
0.6410256410256411,CHIR99021,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,39,DiffCRISP
0.6818181818181818,Crizotinib,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,44,DiffCRISP
0.28,Dabrafenib,0.07092198581560284,NK cells,Drop-seq,Drop-seq,484,50,DiffCRISP
