condition,dose_val,CRISP_R2_DE,CRISP_Pearson_Delta_DE,CRISP_Sinkhorn_DE
Alvespimycin,0.0010000000474974513,0.9334744811058044,0.4943574772905195,1.824995994567871
Alvespimycin,0.009999999776482582,0.8181045055389404,-0.00032855940572474674,6.1326494216918945
Alvespimycin,0.10000000149011612,0.7932717204093933,0.07622334559945834,5.605472564697266
Alvespimycin,1.0,0.0,0.14423411584658505,1.7158081531524658
Belinostat,0.0010000000474974513,0.6834107041358948,-0.43419132124283305,1.824794054031372
Belinostat,0.009999999776482582,0.0,0.10503087717426118,10.387842178344727
Belinostat,0.10000000149011612,0.0,0.38380722214638274,11.939888000488281
Belinostat,1.0,0.7178564667701721,0.8455278832061498,7.236855983734131
Dacinostat,0.0010000000474974513,0.25603532791137695,0.4308623852146882,12.541630744934082
Dacinostat,0.009999999776482582,0.43640536069869995,0.5943205393543212,9.613021850585938
Dacinostat,0.10000000149011612,0.5791705846786499,0.7503525588907919,9.791412353515625
Dacinostat,1.0,0.6754518747329712,0.8786863141383416,10.077341079711914
Flavopiridol,0.0010000000474974513,0.0,-0.2312891292790692,9.546530723571777
Flavopiridol,0.009999999776482582,0.0,0.2727033614651145,5.870937347412109
Flavopiridol,0.10000000149011612,0.0,-0.12672233989007864,1.7156987190246582
Flavopiridol,1.0,0.0,-0.7586672158214092,7.369180679321289
Givinostat,0.0010000000474974513,0.3489631414413452,0.05245442067341239,5.3276214599609375
Givinostat,0.009999999776482582,0.0,0.1981212118697915,13.160256385803223
Givinostat,0.10000000149011612,0.0,0.39574150142010023,15.121816635131836
Givinostat,1.0,0.3462262749671936,0.6557738761574882,14.73440933227539
Hesperadin,0.0010000000474974513,0.3490816354751587,-0.35791103986922596,4.9316911697387695
Hesperadin,0.009999999776482582,0.0,-0.06326541955911061,1.7031489610671997
Hesperadin,0.10000000149011612,0.0,-0.28594882043954967,3.4674072265625
Hesperadin,1.0,0.5907474756240845,0.7938072115087994,3.048121929168701
Quisinostat,0.0010000000474974513,0.0,0.20128283687085285,21.35264015197754
Quisinostat,0.009999999776482582,0.0,0.18838516104222117,26.390464782714844
Quisinostat,0.10000000149011612,0.0,0.30833630266656786,22.798419952392578
Quisinostat,1.0,0.0,0.4361377770150375,21.332061767578125
TAK-901,0.0010000000474974513,0.5381202697753906,-0.2370438504054599,2.8198509216308594
TAK-901,0.009999999776482582,0.5321047306060791,0.04508748102999123,2.9940707683563232
TAK-901,0.10000000149011612,0.3368756175041199,0.09549266238232103,4.035628318786621
TAK-901,1.0,0.0,0.20798463345678073,0.4174111485481262
Tanespimycin,0.0010000000474974513,0.9045909643173218,0.27660791776867616,2.292642593383789
Tanespimycin,0.009999999776482582,0.7856310606002808,0.06598875865990185,6.811635971069336
Tanespimycin,0.10000000149011612,0.7835078239440918,0.1542610404975093,5.94572639465332
Tanespimycin,1.0,0.8133077621459961,0.4814718596222552,5.773523807525635
