condition,dose_val,CRISP_R2_DE,DIFFCRISP_R2_DE,CRISP_Pearson_Delta_DE,DIFFCRISP_Pearson_Delta_DE,CRISP_Sinkhorn_DE,DIFFCRISP_Sinkhorn_DE
Alvespimycin,0.001,0.9334744811058044,0.9855387210845948,0.4943574772905195,-0.0392032545232083,1.824995994567871,0.8259897232055664
Alvespimycin,0.01,0.8181045055389404,0.9384806156158448,-0.0003285594057247,-0.1374206909809866,6.132649421691895,2.955608367919922
Alvespimycin,0.1,0.7932717204093933,0.9396317005157472,0.0762233455994583,0.0617405689550544,5.605472564697266,2.4951744079589844
Alvespimycin,1.0,0.0,0.0,0.144234115846585,0.609677179445561,1.7158081531524658,0.0940714925527572
Belinostat,0.001,0.6834107041358948,0.9745839834213256,-0.434191321242833,0.6349324516494812,1.824794054031372,0.7335324287414551
Belinostat,0.01,0.0,0.8404608964920044,0.1050308771742611,0.1280678244321453,10.387842178344728,3.529224395751953
Belinostat,0.1,0.0,0.7331838607788086,0.3838072221463827,0.2299997490525162,11.93988800048828,5.581366539001465
Belinostat,1.0,0.7178564667701721,0.1769810914993286,0.8455278832061498,0.4531247648654666,7.236855983734131,14.091403007507324
Dacinostat,0.001,0.2560353279113769,0.6926366686820984,0.4308623852146882,0.188358541255562,12.541630744934082,7.8738250732421875
Dacinostat,0.01,0.4364053606986999,0.5794304013252258,0.5943205393543212,0.4265095296613614,9.613021850585938,8.113947868347168
Dacinostat,0.1,0.5791705846786499,0.1511203050613403,0.7503525588907919,0.5240405281957283,9.791412353515623,15.661314010620115
Dacinostat,1.0,0.6754518747329712,0.0,0.8786863141383416,0.4859664977987732,10.077341079711914,24.177413940429688
Flavopiridol,0.001,0.0,0.905011773109436,-0.2312891292790692,0.1332352547227087,9.546530723571776,0.8675628900527954
Flavopiridol,0.01,0.0,0.0,0.2727033614651145,0.199168807689033,5.870937347412109,2.962875843048096
Flavopiridol,0.1,0.0,0.0,-0.1267223398900786,0.4928730212906556,1.7156987190246582,0.1792541742324829
Flavopiridol,1.0,0.0,0.0,-0.7586672158214092,-0.335164817559662,7.369180679321289,0.6025130748748779
Givinostat,0.001,0.3489631414413452,0.8346379399299622,0.0524544206734123,-0.0235905924628281,5.3276214599609375,3.302478790283203
Givinostat,0.01,0.0,0.906243085861206,0.1981212118697915,0.0629529197470735,13.160256385803224,3.871147155761719
Givinostat,0.1,0.0,0.6979891061782837,0.3957415014201002,0.1896283672150703,15.121816635131836,6.469910144805908
Givinostat,1.0,0.3462262749671936,0.0,0.6557738761574882,0.4230545243398397,14.73440933227539,21.2164249420166
Hesperadin,0.001,0.3490816354751587,0.9152474999427797,-0.3579110398692259,0.0640892452245748,4.9316911697387695,2.075648307800293
Hesperadin,0.01,0.0,0.3364219069480896,-0.0632654195591106,0.1645035470277019,1.7031489610671997,0.7376424074172974
Hesperadin,0.1,0.0,0.7649194598197937,-0.2859488204395496,0.3759044698714974,3.4674072265625,1.53621244430542
Hesperadin,1.0,0.5907474756240845,0.7716645002365112,0.7938072115087994,0.4144544505547528,3.048121929168701,2.0821454524993896
Quisinostat,0.001,0.0,0.3704268932342529,0.2012828368708528,0.4210996811108403,21.35264015197754,10.324633598327637
Quisinostat,0.01,0.0,0.1024032235145568,0.1883851610422211,0.4360028075895147,26.390464782714844,15.575615882873535
Quisinostat,0.1,0.0,0.0,0.3083363026665678,0.3818718018781614,22.798419952392575,20.10925674438477
Quisinostat,1.0,0.0,0.0,0.4361377770150375,0.3878618197253205,21.332061767578125,21.539493560791016
TAK-901,0.001,0.5381202697753906,0.9538123607635498,-0.2370438504054599,-0.0655327121074907,2.81985092163086,1.0399858951568604
TAK-901,0.01,0.5321047306060791,0.9287303686141968,0.0450874810299912,0.2193935936479899,2.9940707683563232,1.5360690355300903
TAK-901,0.1,0.3368756175041199,0.9297122359275818,0.095492662382321,0.2936676687724658,4.035628318786621,1.470786690711975
TAK-901,1.0,0.0,0.0,0.2079846334567807,0.837996267412998,0.4174111485481262,0.0993949472904205
Tanespimycin,0.001,0.9045909643173218,0.9876644015312196,0.2766079177686761,-0.0281728683961234,2.292642593383789,0.7897588014602661
Tanespimycin,0.01,0.7856310606002808,0.9381526112556458,0.0659887586599018,-0.1013749848565392,6.811635971069336,3.408242702484131
Tanespimycin,0.1,0.7835078239440918,0.9334608316421508,0.1542610404975093,-0.0331676824615309,5.94572639465332,2.7003326416015625
Tanespimycin,1.0,0.8133077621459961,0.9134054780006408,0.4814718596222552,0.003048402372124,5.773523807525635,3.5734424591064453
