condition,dose_val,CRISP_R2_DE,CRISP_Pearson_Delta_DE,CRISP_Sinkhorn_DE
Alvespimycin,0.0010000000474974513,0.983481764793396,-0.1865311923438196,0.8716244697570801
Alvespimycin,0.009999999776482582,0.9364160895347595,-0.18760797197468737,3.013244152069092
Alvespimycin,0.10000000149011612,0.9372833371162415,0.0101877985047912,2.5649046897888184
Alvespimycin,1.0,0.0,0.5577675959650097,0.09883567690849304
Belinostat,0.0010000000474974513,0.978776216506958,0.7095888284820708,0.7223762273788452
Belinostat,0.009999999776482582,0.8462339639663696,0.18910185044491196,3.5013351440429688
Belinostat,0.10000000149011612,0.7376646995544434,0.26317035178329573,5.561494827270508
Belinostat,1.0,0.18574702739715576,0.4755605572084774,13.997419357299805
Dacinostat,0.0010000000474974513,0.6972737312316895,0.21816585526442334,7.835702419281006
Dacinostat,0.009999999776482582,0.5854621529579163,0.4466890069130599,8.05370807647705
Dacinostat,0.10000000149011612,0.15322858095169067,0.5071163075959783,15.636823654174805
Dacinostat,1.0,0.0,0.45324478997888173,24.206104278564453
Flavopiridol,0.0010000000474974513,0.9049735069274902,0.1298848301833139,0.8667739033699036
Flavopiridol,0.009999999776482582,0.0,0.22122447816010088,2.9476332664489746
Flavopiridol,0.10000000149011612,0.0,0.4958929283481375,0.1799142211675644
Flavopiridol,1.0,0.0,-0.32603027364143294,0.6098514795303345
Givinostat,0.0010000000474974513,0.8350157737731934,-0.028651155776974697,3.295875072479248
Givinostat,0.009999999776482582,0.9076443910598755,0.07215035604820204,3.8522040843963623
Givinostat,0.10000000149011612,0.6981045007705688,0.18972717052113508,6.473911285400391
Givinostat,1.0,0.0,0.43924624230238024,21.195247650146484
Hesperadin,0.0010000000474974513,0.9184978008270264,0.09766121517556173,2.0633749961853027
Hesperadin,0.009999999776482582,0.32679349184036255,0.1398160298636212,0.740520715713501
Hesperadin,0.10000000149011612,0.7691975235939026,0.3935954929698555,1.5255262851715088
Hesperadin,1.0,0.7686672806739807,0.4035823299220835,2.1004037857055664
Quisinostat,0.0010000000474974513,0.3786469101905823,0.45519534266583894,10.247718811035156
Quisinostat,0.009999999776482582,0.11136144399642944,0.4679459691598918,15.468330383300781
Quisinostat,0.10000000149011612,0.0,0.41486609197095126,19.968942642211914
Quisinostat,1.0,0.0,0.41616223945418607,21.410865783691406
TAK-901,0.0010000000474974513,0.9531562924385071,-0.07085139693684733,1.0429946184158325
TAK-901,0.009999999776482582,0.9285799860954285,0.22376089465730273,1.5340838432312012
TAK-901,0.10000000149011612,0.9293017983436584,0.2873336889764472,1.4821977615356445
TAK-901,1.0,0.0,0.8473320373174887,0.09766394644975662
Tanespimycin,0.0010000000474974513,0.9862004518508911,-0.17186410987212822,0.8260936737060547
Tanespimycin,0.009999999776482582,0.9388765096664429,-0.08476910015223711,3.4022040367126465
Tanespimycin,0.10000000149011612,0.9318675994873047,-0.07146544708437497,2.742122173309326
Tanespimycin,1.0,0.91331547498703,-0.005637840132596841,3.594179153442383
